#TYPE System.Management.Automation.PSCustomObject
"Player","Team","Opp","Bye","1","2","3","4","5","6","7","8","Avg","Total"
"Crosby, Mason K GB ","PitLords","CHI","4","4","8","15","0","28","19","4","17","13.6","95"
"Vinatieri, Adam K IND ","Chief Dawgs","@HOU","8","3","7","12","17","15","18","21","0","13.3","93"
"Bailey, Dan K DAL ","Missing Link","MIN","11","17","20","4","0","17","7","7","25","12.1","97"
"Novak, Nick K SD ","Free Agent","@WAS","8","4","27","5","17","3","20","6","0","11.7","82"
"Gould, Robbie K CHI ","Wild Ones","@GB","8","12","7","14","11","4","16","16","0","11.4","80"
"Tucker, Justin K BAL ","Free Agent","@CLE","8","9","-4","18","9","24","5","17","0","11.1","78"
"Suisham, Shaun K PIT ","Free Agent","@NE","5","1","7","16","9","0","23","19","2","11.0","77"
"Carpenter, Dan K BUF ","El Chupacabras","KC","12","3","16","17","11","11","11","14","4","10.9","87"
"Hartley, Garrett K NO ","Montezuma's Revenge","@NYJ","7","16","13","8","5","24","11","0","-1","10.9","76"
"Feely, Jay K ARI ","Free Agent","BYE","9","3","21","1","10","15","2","19","13","10.5","84"
"Sturgis, Caleb K MIA ","Lawless Wonders","CIN","6","20","11","17","6","14","0","0","4","10.3","72"
"Succop, Ryan K KC ","Free Agent","@BUF","10","4","4","16","12","19","7","5","14","10.1","81"
"Gano, Graham K CAR ","Free Agent","ATL","4","1","13","13","0","11","5","19","7","9.9","69"
"Akers, David K DET ","Free Agent","BYE","9","14","-3","10","23","8","12","5","7","9.5","76"
"Zuerlein, Greg K STL ","Worcester Itch","TEN","11","21","6","1","5","13","11","10","7","9.2","74"
"Cundiff, Billy K CLE","Free Agent","BAL","10","6","11","8","4","16","7","14","8","9.2","74"
"Nugent, Mike K CIN ","Free Agent","@MIA","12","3","11","0","9","13","13","15","7","8.9","71"
"Bryant, Matt K ATL ","Screaming Seagulls","@CAR","6","5","9","14","14","4","0","7","7","8.6","60"
"Walsh, Blair K MIN ","The All In","@DAL","5","11","12","12","14","0","4","-2","9","8.6","60"
"Henery, Alex K PHI ","Free Agent","@OAK","12","11","14","1","6","25","7","1","1","8.2","66"
"Lindell, Rian K TB ","Free Agent","@SEA","5","7","-1","0","8","0","10","17","15","8.0","56"
"Brown, Josh K NYG ","Free Agent","BYE","9","7","16","-3","-2","3","3","14","25","7.9","63"
"Bullock, Randy K HOU","Free Agent","IND","8","7","-7","13","11","3","8","18","0","7.6","53"
"Bironas, Rob K TEN ","Free Agent","@STL","8","13","7","7","8","2","9","6","0","7.4","52"
"Dawson, Phil K SF ","Screaming Seagulls","BYE","9","8","3","1","-1","12","16","10","6","6.9","55"
"Scobee, Josh K JAC ","Free Agent","BYE","9","0","3","6","8","13","11","6","6","6.6","53"
"Forbath, Kai K WAS ","Free Agent","SD","5","0","0","0","0","0","9","11","3","5.8","23"
"Janikowski, Sebastian K OAK ","Free Agent","PHI","7","4","14","3","-1","17","-2","0","3","5.4","38"
"Potter, John K WAS","Free Agent","SD","5","0","-1","11","6","0","0","0","0","5.3","16"
